description,funding_total_usd,competitors,target
Website to find freelancers,121124,65,1
Automated app tool,165583,49,0
A platform connecting rich people with app,1879894,85,0
Automated app tool,269600,38,0
Website to find seniors,146477,63,0
A local Bot app,2875696,72,1
I want to build a app for designers,51225,65,0
Chatbot that helps rich people to find jobs,155053,60,0
Selling exclusive restaurant online,427590,29,0
A platform connecting freelancers with gym,79798,25,0
Like Spotify but for doctors,326149,44,0
Website to find rich people,88187,27,0
Like Netflix but for dogs,161844,55,0
Like Netflix but for seniors,308041,72,0
Website to find doctors,198636,46,0
app that helps designers to save money,448866,12,1
Basically Spotify for rich people,188798,21,0
Selling exclusive clothing brand online,78038,33,0
Basically Spotify for rich people,6630539,58,1
I want to build a Algorithm for doctors,2013490,66,1
Basically Amazon for gamers,329964,54,0
A platform connecting gamers with app,6603330,72,1
A platform connecting seniors with app,7012553,44,1
Basically Tinder for gamers,404611,78,0
I want to build a app for seniors,388702,67,0
Best local restaurant in Remote,333801,15,1
A platform connecting kids with app,6026117,60,1
Website to find students,130829,46,0
Automated app tool,399812,22,0
I want to build a app for students,485060,21,0
A smart app app,415326,54,0
Like Airbnb but for seniors,285273,67,0
A platform connecting students with app,9522369,77,1
Selling fast app online,6059245,77,1
Basically Tinder for designers,430720,53,1
Automated app tool,305513,55,0
Website to find kids,475789,17,1
Automated app tool,385870,56,0
Automated app tool,172174,35,1
Automated SaaS tool,7479158,79,1
A sustainable app app,323588,68,0
Like Airbnb but for freelancers,267623,52,0
I want to build a Platform for dogs,4200677,63,1
I want to build a Algorithm for dogs,4125944,69,1
Automated app tool,51325,62,0
Like Amazon but for students,815188,95,0
app that helps seniors to find jobs,73662,14,0
Website to find kids,4806438,62,1
Basically Amazon for kids,458913,63,0
Automated app tool,303194,15,1
I want to build a Drone for gamers,3103171,67,1
Basically Tinder for freelancers,52636,61,0
A platform connecting designers with store,293110,59,0
A platform connecting seniors with gym,314881,58,0
Automated app tool,406851,17,1
A smart app app,284081,26,0
app that helps seniors to learn coding,344804,25,0
I want to build a app for kids,276744,24,1
I want to build a app for designers,492827,19,1
A cheap app app,351273,45,1
Like Uber but for dogs,2968633,72,1
Basically Amazon for designers,105330,32,0
Website to find freelancers,2722,13,0
Website to find kids,9253429,58,1
I want to build a Chatbot for designers,8016249,66,1
A platform connecting designers with clothing brand,82548,64,0
Automated app tool,226547,29,0
Basically Google for freelancers,188516,51,0
Automated app tool,296764,54,0
A platform connecting rich people with app,5980422,43,1
I want to build a app for gamers,68883,22,0
Website to find designers,6978627,77,1
Basically Facebook for freelancers,3709576,83,1
Like Airbnb but for dogs,4456691,84,0
A local Blockchain app,2060303,69,1
A luxury app app,375529,49,0
Like Uber but for freelancers,8517744,73,1
I want to build a app for freelancers,51704,52,0
Website to find kids,238772,13,0
I want to build a Algorithm for dogs,2647453,51,1
Chatbot that helps students to travel cheaper,8371135,87,1
Website to find designers,403356,43,1
Best simple consulting in Mumbai,327180,73,1
Like Amazon but for kids,4538833,67,1
Automated Algorithm tool,9865326,88,1
Best fast app in online,5886496,70,1
Basically Amazon for seniors,3542215,75,1
Automated app tool,260861,56,0
AI that helps doctors to learn coding,4776467,95,1
Automated app tool,234832,27,1
Selling smart bakery online,407206,63,0
A fast app app,324208,19,0
Basically Airbnb for rich people,435658,76,0
I want to build a app for doctors,125113,19,1
Automated Neural Net tool,3722171,85,1
AI that helps doctors to save money,3154096,80,1
Automated app tool,441341,21,0
Selling sustainable app online,5021003,62,1
Website to find seniors,403202,32,0
Automated app tool,74010,45,0
Website to find doctors,149177,66,0
Automated Chatbot tool,5194346,77,1
Automated app tool,6076,57,0
Best cheap cafe in Global,424431,17,1
app that helps rich people to meet people,488386,26,0
Selling smart clothing brand online,75370,45,0
Basically Google for dogs,2328840,66,1
A fast Neural Net app,1475429,71,1
Best smart app in online,8101021,93,0
A platform connecting kids with app,7390714,90,1
Website to find rich people,1371383,82,0
Best simple agency in Delhi,485284,35,0
A simple app app,328521,45,0
Like Uber but for doctors,4553,30,0
Selling cheap app online,5232412,68,1
Automated app tool,296332,60,0
A platform connecting dogs with app,9011578,51,1
